Gaming_Platform,YoR,Sales_NA,Sales_EU,Sales_JP,Other_Sales,Genre
PS2,2002.0,0.9,1.22,0.04,0.44,Action
PS4,2014.0,0.0,0.07,0.0,0.01,Action
PS3,2008.0,0.88,0.54,0.02,0.25,Action
N64,1998.0,0.28,0.14,0.0,0.01,Racing
3DS,2016.0,0.02,0.01,0.01,0.0,Action
PSP,2012.0,0.0,0.0,0.06,0.0,Action
PS2,1996.0,0.5,0.22,0.69,0.09,Platform
DS,2008.0,0.05,0.0,0.0,0.0,Platform
N64,1999.0,0.19,0.05,0.0,0.0,Action
DS,2008.0,0.0,0.0,0.01,0.0,Adventure
PS2,2001.0,0.12,0.09,0.0,0.03,Racing
X360,2005.0,0.49,0.03,0.03,0.05,Racing
PC,2004.0,0.0,0.03,0.0,0.01,Racing
N64,1999.0,0.24,0.06,0.0,0.0,Racing
DS,2007.0,0.0,0.0,0.05,0.0,Adventure
Wii,2009.0,0.14,0.09,0.0,0.02,Action
Wii,2008.0,0.06,0.0,0.0,0.0,Racing
2600,1981.0,0.35,0.02,0.0,0.0,Action
PS2,2005.0,0.03,0.02,0.0,0.01,Action
GC,2003.0,0.03,0.01,0.0,0.0,Racing
PS2,2006.0,0.0,0.0,0.02,0.0,Adventure
PS3,2013.0,0.0,0.0,0.08,0.0,Adventure
PSP,,0.03,0.01,0.0,0.0,Racing
GC,2002.0,0.04,0.01,0.0,0.0,Action
Wii,2013.0,1.21,0.75,0.0,0.19,Platform
PS2,2002.0,0.08,0.06,0.0,0.02,Platform
PSP,2005.0,0.69,0.37,0.02,0.24,Racing
PSV,2002.0,0.69,0.26,0.9,0.05,Racing
PS,1996.0,0.43,0.29,0.0,0.05,Racing
NES,1988.0,5.39,1.18,0.7,0.19,Platform
PC,2012.0,0.0,0.02,0.0,0.0,Racing
PS,1996.0,0.02,0.01,0.0,0.0,Action
PS3,2011.0,0.14,0.13,0.0,0.05,Action
XB,2006.0,0.42,0.11,0.0,0.02,Action
PSV,2016.0,0.0,0.0,0.01,0.0,Action
PSP,2010.0,0.0,0.0,0.02,0.0,Action
PS2,2000.0,0.0,0.0,0.09,0.0,Adventure
PS4,2015.0,0.1,0.09,0.0,0.04,Action
Wii,2009.0,0.1,0.22,0.0,0.04,Racing
PS3,2012.0,0.07,0.0,0.0,0.01,Racing
GBA,2003.0,0.03,0.01,0.0,0.0,Action
GB,1997.0,0.7,0.35,0.39,0.04,Platform
GBA,,0.04,0.02,,0.0,Action
PSP,2013.0,0.0,0.0,0.09,0.0,Adventure
PS3,2015.0,0.17,0.3,0.0,0.09,Action
SNES,2018.0,0.83,0.22,1.78,0.26,Adventure
DS,,0.01,0.0,0.0,0.0,Platform
PS,2001.0,0.44,0.3,0.0,0.05,Racing
PSP,2013.0,0.0,0.0,0.01,0.0,Adventure
PS3,2007.0,0.16,0.19,0.0,0.08,Action
PS2,2002.0,0.04,0.03,0.0,0.01,Racing
PS,,0.05,0.03,0.0,0.01,Action
PS3,2007.0,0.57,0.32,0.09,0.16,Action
PS2,2008.0,0.06,0.05,0.0,0.02,Platform
GBA,2003.0,0.2,0.07,0.0,0.01,Racing
Wii,2009.0,0.05,0.0,0.0,0.0,Action
PS3,2013.0,0.0,0.0,0.03,0.0,Action
PS2,2009.0,0.05,0.02,0.0,0.08,Action
PSV,2005.0,0.07,0.6,0.91,0.03,Action
SNES,1993.0,0.0,0.0,0.22,0.0,Action
PC,2008.0,0.0,0.02,0.0,0.0,Adventure
SNES,2011.0,1.22,0.64,0.23,0.83,Platform
GC,2003.0,0.13,0.03,0.0,0.0,Platform
GC,2006.0,0.75,0.19,0.0,0.03,Action
XB,2002.0,0.31,0.19,0.0,0.03,Action
GC,2006.0,0.15,0.04,0.0,0.01,Platform
PS3,2010.0,0.43,0.56,0.15,0.21,Action
PSP,2008.0,0.06,0.0,0.2,0.01,Action
PSP,2008.0,0.04,0.0,0.0,0.0,Action
PS2,2008.0,0.0,0.0,0.02,0.0,Adventure
PS4,2016.0,0.01,0.11,0.0,0.02,Action
PC,2007.0,0.01,0.01,0.0,0.0,Action
PSP,2010.0,0.0,0.0,0.07,0.0,Action
WiiU,2014.0,0.01,0.02,0.0,0.0,Action
GBA,2004.0,,0.04,0.0,0.0,Action
PS,1998.0,3.68,1.75,1.42,0.28,Platform
PS2,2005.0,0.25,0.2,0.0,0.07,Action
TG16,2002.0,0.38,0.08,0.02,0.1,Platform
DS,2007.0,0.03,0.0,0.0,0.0,Action
XB,2003.0,0.02,0.01,0.0,0.0,Platform
GC,2003.0,0.01,0.0,0.0,0.0,Action
GBA,2002.0,0.16,0.06,0.04,0.0,Platform
PS2,,0.6,0.46,0.0,0.16,Racing
GEN,1992.0,0.0,0.0,0.12,0.0,Adventure
PSV,2016.0,0.0,0.0,0.23,0.0,Action
PS2,2006.0,0.0,0.0,0.02,0.0,Adventure
WiiU,2014.0,0.37,0.22,0.0,0.06,Action
3DS,2012.0,0.0,0.0,0.62,0.0,Adventure
X360,2008.0,0.06,0.14,0.0,0.01,Racing
PS2,2003.0,0.0,0.47,0.77,0.17,Racing
SAT,2005.0,0.77,0.94,0.61,0.46,Racing
PS3,2012.0,0.12,0.02,0.0,0.03,Action
3DS,2011.0,0.27,0.16,0.02,0.04,Racing
PS,1995.0,0.5,0.34,0.0,0.06,Racing
XB,2002.0,0.06,0.02,0.0,0.0,Action
PS3,2009.0,0.54,0.27,0.0,0.13,Action
PSV,2012.0,0.07,0.09,0.0,0.03,Action
DS,2009.0,0.1,0.0,0.0,0.01,Adventure
DS,2004.0,0.21,0.14,0.38,0.04,Racing
PSP,2006.0,0.04,0.0,0.0,0.0,Racing
PS3,2010.0,0.5,0.35,0.1,0.15,Action
PS2,2007.0,0.0,0.0,0.02,0.0,Adventure
WiiU,2013.0,0.04,0.06,0.0,0.01,Action
PSP,2011.0,0.0,0.0,0.02,0.0,Adventure
PS,1996.0,0.02,0.01,0.0,0.0,Action
3DS,2016.0,0.0,0.0,0.03,0.0,Action
GC,2005.0,0.06,0.02,0.0,0.0,Action
PSP,2012.0,0.05,0.18,0.02,0.09,Action
DS,2006.0,0.03,0.0,0.0,0.0,Action
Wii,2009.0,0.12,0.03,0.03,0.02,Action
Wii,2009.0,0.12,0.13,0.0,0.03,Adventure
Wii,2009.0,0.06,0.02,0.0,0.01,Action
PS4,2014.0,1.88,2.0,0.07,0.77,Action
DS,2010.0,0.0,0.0,0.1,0.0,Adventure
Wii,2013.0,1.05,0.41,0.0,0.14,Action
Wii,2010.0,0.06,0.05,0.0,0.01,Action
PS,1999.0,0.0,0.0,0.13,0.01,Adventure
GBA,2002.0,0.08,0.03,0.0,0.0,Platform
Wii,2009.0,14.44,6.94,4.7,2.24,Platform
X360,,0.0,0.1,0.0,0.02,Racing
PSP,2005.0,0.53,0.0,0.0,0.04,Racing
Wii,2010.0,0.01,0.01,0.0,0.0,Racing
Wii,2009.0,0.14,0.0,0.0,0.01,Action
DS,2011.0,0.32,0.08,0.0,0.03,Action
NES,1991.0,1.05,0.17,0.15,0.02,Action
Wii,2009.0,0.03,0.0,0.0,0.0,Action
Wii,2010.0,0.25,0.21,0.0,0.05,Adventure
DS,2009.0,0.18,0.18,0.0,0.04,Action
3DS,2012.0,0.15,0.03,0.0,0.01,Action
3DS,2012.0,0.0,0.0,0.14,0.0,Action
PS3,2016.0,0.01,0.03,0.0,0.01,Action
DS,2009.0,0.08,0.0,0.0,0.01,Action
PS2,2009.0,0.0,0.15,0.0,0.33,Racing
PSP,2013.0,0.0,0.0,0.01,0.0,Adventure
PS3,2010.0,0.21,0.02,0.0,0.02,Racing
